QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,EQC1_max,EQC1_min,EQC1_avg,EQC1_stdev,EQC1_range,EQC2_max,EQC2_min,EQC2_avg,EQC2_stdev,EQC2_range,EQC3_max,EQC3_min,EQC3_avg,EQC3_stdev,EQC3_range,EQC4_max,EQC4_min,EQC4_avg,EQC4_stdev,EQC4_range,EQC5_max,EQC5_min,EQC5_avg,EQC5_stdev,EQC5_range,EQC6_max,EQC6_min,EQC6_avg,EQC6_stdev,EQC6_range,EQC7_max,EQC7_min,EQC7_avg,EQC7_stdev,EQC7_range,EQC8_max,EQC8_min,EQC8_avg,EQC8_stdev,EQC8_range,EQC9_max,EQC9_min,EQC9_avg,EQC9_stdev,EQC9_range,EQC10_max,EQC10_min,EQC10_avg,EQC10_stdev,EQC10_range,EQC11_max,EQC11_min,EQC11_avg,EQC11_stdev,EQC11_range,EQC12_max,EQC12_min,EQC12_avg,EQC12_stdev,EQC12_range,EQC13_max,EQC13_min,EQC13_avg,EQC13_stdev,EQC13_range,EQC14_max,EQC14_min,EQC14_avg,EQC14_stdev,EQC14_range,EQC15_max,EQC15_min,EQC15_avg,EQC15_stdev,EQC15_range,EQC16_max,EQC16_min,EQC16_avg,EQC16_stdev,EQC16_range,EQC17_max,EQC17_min,EQC17_avg,EQC17_stdev,EQC17_range,EQC18_max,EQC18_min,EQC18_avg,EQC18_stdev,EQC18_range
1881.8,1875.3,1861.3,1853.9,1886.6,1895.3,1926.6,1892.3,1968.7,1186.52,1147.46,39.06,1168.56,6.637195,161.133,122.07,39.063,139.0144,6.093595,527.344,512.695,14.649,521.1259,2.305335,2.45606,2.41699,0.03907,2.438106,0.006057472,72.7051,72.4121,0.293,72.55821,0.05477085,33.3984,33.0078,0.3906,33.18124,0.06024049,20.3613,19.9707,0.3906,20.1927,0.06286363,9550.78,9482.42,68.36,9517.855,11.70268,9560.55,9482.42,78.13,9521.259,11.90498,615.234,292.968,322.266,392.7612,37.08185,48.83,-146.485,195.315,-42.39137,29.1137,-24.414,-58.594,34.18,-39.34883,6.14534,2324.22,2167.97,156.25,2253.892,25.55385,218.262,206.543,11.719,211.9369,1.935636,400.9,398.6,2.3,399.9797,0.5991012,400.3,399.7,0.6,399.9621,0.1537089,400.1,399.9,0.2,399.9859,0.08175433,400.2,399.9,0.3,400.034,0.1011051
1945.4,1926.4,1905.7,1896,1931.2,1942.8,1979.3,1917.5,1971.7,1186.52,1147.46,39.06,1168.127,6.828166,156.25,117.188,39.062,139.0879,6.436551,528.564,512.695,15.869,520.859,2.352021,2.45606,2.41699,0.03907,2.439226,0.006268888,72.7539,72.4609,0.293,72.59025,0.05312863,33.3496,32.959,0.3906,33.13799,0.06175954,20.4102,19.9707,0.4395,20.19022,0.0626945,9560.55,9482.42,78.13,9518.337,11.86716,9560.55,9482.42,78.13,9521.29,12.0203,585.936,292.968,292.968,394.429,36.52521,48.83,-146.485,195.315,-44.40485,29.14277,-24.414,-58.594,34.18,-39.89069,6.707007,2343.75,2148.44,195.31,2246.149,25.43824,218.262,206.543,11.719,212.589,1.906369,400.9,398.6,2.3,399.976,0.5723368,400.1,399.8,0.3,399.981,0.08578814,400.2,399.9,0.3,399.9946,0.09222758,400.3,399.9,0.4,400.0205,0.1367649
1886.3,1912.7,1923.7,1961.8,1919.1,2002.9,1914.1,1901.2,1899,1186.52,1142.58,43.94,1168.343,6.767764,156.25,117.188,39.062,140.2179,6.214164,529.785,511.475,18.31,522.0013,2.792712,2.46094,2.42188,0.03906,2.438873,0.006235082,72.5098,72.0215,0.4883,72.33194,0.07134765,33.4961,33.1055,0.3906,33.28542,0.06136232,20.5078,20.0684,0.4394,20.28606,0.06712844,9580.08,9482.42,97.66,9517.519,11.83732,9589.84,9482.42,107.42,9521.908,11.95557,615.234,263.67,351.564,384.7544,36.32515,24.415,-146.485,170.9,-44.54173,28.18253,-19.531,-58.594,39.063,-39.78932,6.592432,2324.22,2187.5,136.72,2256.074,24.30952,218.262,206.543,11.719,212.592,1.774989,400.9,398.5,2.4,399.9742,0.6205432,400.4,399.6,0.8,399.9571,0.2018499,400.2,399.7,0.5,399.9901,0.1216438,400.1,399.6,0.5,399.994,0.1039645
1907.6,1939.2,1904.8,1981.8,1892.1,1887.8,1874.4,1866.6,1900.6,1186.52,1142.58,43.94,1168.545,6.628188,156.25,117.188,39.062,139.457,6.477772,529.785,513.916,15.869,523.0019,2.663683,2.46094,2.42676,0.03418,2.439282,0.006176931,72.8027,72.4121,0.3906,72.59634,0.05724306,33.252,32.8613,0.3907,33.04248,0.06125376,20.459,20.1172,0.3418,20.29032,0.05993043,9550.78,9482.42,68.36,9518.253,11.43067,9560.55,9482.42,78.13,9521.96,12.79885,644.532,292.968,351.564,398.5976,38.14816,48.83,-146.485,195.315,-44.84707,30.2421,-24.414,-63.477,39.063,-40.17372,6.473155,2324.22,2187.5,136.72,2255.176,26.65385,218.262,206.543,11.719,212.6809,1.864199,400.8,398.7,2.1,399.9875,0.5581004,400.2,399.8,0.4,400.0016,0.1008153,400.1,399.8,0.3,399.9625,0.07958839,400.3,399.8,0.5,400.0258,0.120764
1893.3,1887.3,1874.1,1868.2,1901,1906.6,1939.6,1908.3,1982.1,1186.52,1147.46,39.06,1168.32,6.761761,156.25,122.07,34.18,139.5029,6.218937,531.006,513.916,17.09,522.5333,2.618671,2.45606,2.42188,0.03418,2.438746,0.006325547,72.8027,71.9727,0.83,72.59329,0.05596813,33.3984,32.8613,0.5371,33.05335,0.06033188,20.459,20.0684,0.3906,20.28784,0.06596349,9560.55,9482.42,78.13,9518.598,12.1099,9560.55,9482.42,78.13,9522.303,11.77589,556.638,292.968,263.67,400.7594,37.31708,48.83,-122.07,170.9,-44.2865,29.39126,-19.531,-58.594,39.063,-40.04684,6.735827,2324.22,2167.97,156.25,2255.278,25.71294,218.262,206.543,11.719,212.7062,1.896262,400.8,398.6,2.2,399.9725,0.582095,400.1,399.9,0.2,399.9946,0.05474225,400.1,399.9,0.2,399.9802,0.06559988,400.2,399.9,0.3,400.0143,0.09603058
1906.7,1890,1868.6,1859.5,1893.9,1905.2,1950.7,1883.2,1936.5,1186.52,1142.58,43.94,1168.764,6.700116,156.25,122.07,34.18,139.1165,6.230192,533.447,516.358,17.089,525.9406,2.392075,2.45606,2.42676,0.0293,2.438277,0.006078053,73.0469,72.7051,0.3418,72.85595,0.05468906,33.1543,32.7637,0.3906,32.97187,0.06290597,20.459,20.0684,0.3906,20.2927,0.0639444,9550.78,9482.42,68.36,9520.092,11.71221,9560.55,9492.19,68.36,9523.088,11.92698,585.936,322.266,263.67,422.9445,37.22775,24.415,-122.07,146.485,-42.93975,29.01961,-19.531,-58.594,39.063,-39.83517,6.463047,2324.22,2167.97,156.25,2255.915,26.12926,216.797,206.543,10.254,212.6751,1.85241,401,398.6,2.4,399.9941,0.606389,400.4,399.7,0.7,400.007,0.1791404,400.4,399.8,0.6,400.0027,0.1368274,400.3,399.7,0.6,400.0332,0.1480769
1910.6,1902.5,1890.9,1885.5,1918.2,1923.3,1957.5,1921.9,1998.8,1186.52,1142.58,43.94,1168.248,6.936668,156.25,122.07,34.18,139.1311,6.192002,528.564,512.695,15.869,521.3362,2.576652,2.45606,2.42188,0.03418,2.437703,0.006054418,72.7539,72.4121,0.3418,72.58841,0.05396,33.252,32.9102,0.3418,33.07376,0.06000899,20.459,20.1172,0.3418,20.28731,0.06214727,9550.78,9482.42,68.36,9518.195,11.79901,9560.55,9482.42,78.13,9521.716,11.68321,527.346,263.67,263.676,395.8795,37.65257,24.415,-122.07,146.485,-43.72657,28.55263,-24.414,-58.594,34.18,-39.62062,6.326868,2324.22,2167.97,156.25,2245.06,24.40635,216.797,206.543,10.254,212.624,1.82729,400.9,398.7,2.2,399.991,0.5763313,400.2,399.8,0.4,399.9965,0.1001824,400.1,399.9,0.2,399.9988,0.07101134,400.2,399.8,0.4,400.0219,0.09478072
1935.5,1914.2,1897.1,1883.3,1911.9,1926.4,1969.8,1903.4,1959.4,1191.41,1142.58,48.83,1168.58,6.837147,151.367,122.07,29.297,138.7996,6.018682,532.227,516.358,15.869,524.1412,2.422143,2.45606,2.42676,0.0293,2.437954,0.006308435,72.9981,72.7051,0.293,72.85172,0.05377901,33.252,32.9102,0.3418,33.07517,0.05867036,20.459,20.0195,0.4395,20.28907,0.06318368,9560.55,9492.19,68.36,9519.279,11.69984,9550.78,9482.42,68.36,9523.173,11.98106,615.234,322.266,292.968,416.4335,38.06171,24.415,-146.485,170.9,-43.86353,29.88868,-24.414,-63.477,39.063,-39.74086,6.430389,2343.75,2167.97,175.78,2256.074,25.56494,218.262,206.543,11.719,212.6514,1.937772,401,398.7,2.3,400.0016,0.5564084,400.4,399.7,0.7,400.0357,0.213344,400.3,399.8,0.5,399.9778,0.1315337,400.4,399.7,0.7,400.0222,0.1757442
1954.3,1908.6,1894.7,1891.2,1906.2,1921.8,1966.1,1904.2,1901.8,1191.41,1142.58,48.83,1168.425,6.568305,156.25,122.07,34.18,138.8171,6.105349,532.227,516.358,15.869,524.5579,2.47282,2.46094,2.41699,0.04395,2.438549,0.006353431,72.9981,72.6563,0.3418,72.81951,0.05208904,33.252,32.8613,0.3907,33.06597,0.05801562,20.3613,19.9707,0.3906,20.19167,0.06054838,9550.78,9482.42,68.36,9517.161,11.9431,9560.55,9492.19,68.36,9525.651,12.2644,615.234,292.968,322.266,405.2633,35.17336,48.83,-122.07,170.9,-45.39178,29.7362,-19.531,-58.594,39.063,-39.41826,6.514223,2324.22,2187.5,136.72,2244.853,26.12979,218.262,205.078,13.184,212.5517,1.919326,400.9,398.7,2.2,399.992,0.5360065,400.1,399.8,0.3,399.9711,0.1020577,400.2,399.7,0.5,399.9769,0.1160998,400.2,399.7,0.5,399.992,0.14023
1900.4,1858.3,1844.5,1842.7,1859.7,1873.6,1912.4,1858,1852.4,1186.52,1147.46,39.06,1168.02,6.839727,156.25,122.07,34.18,139.015,6.416794,527.344,511.475,15.869,520.1733,2.463985,2.46094,2.42188,0.03906,2.439487,0.006496667,72.6074,72.2656,0.3418,72.47469,0.05344619,33.3496,33.0078,0.3418,33.18922,0.0583427,20.3613,20.0195,0.3418,20.1895,0.06068306,9550.78,9472.66,78.12,9517.617,11.9069,9570.31,9492.19,78.12,9525.33,11.85895,527.346,234.378,292.968,369.2612,38.37242,24.415,-146.485,170.9,-46.2163,29.0311,-19.531,-58.594,39.063,-39.58994,6.35737,2324.22,2167.97,156.25,2244.928,25.58831,216.797,205.078,11.719,211.853,1.913275,400.9,398.7,2.2,399.9728,0.5844774,400.2,399.9,0.3,399.9844,0.08642511,400.2,399.8,0.4,400.0128,0.08664753,400.2,399.8,0.4,399.9879,0.07675519
